"Settlement.id","long","lat","Name","Metric...System","Demographics...Projected.household.count","Demand..household....Target.household.count","Demand...Projected.nodal.demand.per.year","System..grid....Transformer.cost","Demographics...Population.count","Demographics...Projected.population.count","order","piece","group","id","fake.node","root","branch","dist","MV.line.per.kwh","near.sighted.sequence","depth","Total.Downstream.Demand.kWh","Total.Downstream.Network.Extent.m","Selection.Criteria","far.sighted.sequence"
"606",129.230239,-3.398841,810305002401,"grid",13,13,13338,3000,64,64,1,"1","241.1","241",FALSE,407,"407",8.31376545874352,0.000623314249418467,78,0,13338,8.31376545874352,0.000623314249418467,76
"1117",128.284099,-3.69742,817102100603,"grid",40,40,41040,3000,163,163,1,"1","310.1","310",FALSE,244,"244",25.7003423548936,0.000626226665567584,79,0,41040,25.7003423548936,0.000626226665567584,77
"160",127.952132,-3.120413,810601001401,"grid",72,72,73872,7000,297,297,1,"1","384.1","384",FALSE,44,"44",47.1473745997678,0.000638230650310913,80,0,73872,47.1473745997678,0.000638230650310913,78
"270",128.483554,-3.520436,810309000602,"grid",216,216,221616,17000,677,677,1,"1","542.1","542",FALSE,296,"296",141.471049874824,0.000638361173718611,81,0,221616,141.471049874824,0.000638361173718611,79
"593",128.169937,-3.704484,817101000701,"grid",196,196,201096,15000,796,796,1,"1","529.1","529",FALSE,140,"140",130.900249656309,0.000650934129253236,82,0,201096,130.900249656309,0.000650934129253236,80
"573",128.717352,-2.861936,810604100901,"grid",61,61,62586,7000,238,238,1,"1","365.1","365",FALSE,343,"343",42.228029559538,0.00067472005815259,83,0,62586,42.228029559538,0.00067472005815259,81
"605",130.443088999999,-3.056069,810704001901,"grid",122,122,125172,11000,404,404,1,"1","462.1","462",FALSE,465,"465",85.7976968314356,0.000685438411397402,84,0,125172,85.7976968314356,0.000685438411397402,82
"1232",129.931218,-3.339171,810703100501,"grid",14,14,14364,3000,50,50,1,"1","249.1","249",FALSE,446,"446",9.92200328114777,0.00069075489286743,85,0,14364,9.92200328114777,0.00069075489286743,83
"1032",129.895463,-3.336207,810703100301,"grid",84,84,86184,7000,260,260,1,"1","414.1","414",FALSE,437,"437",59.8759753162451,0.000694745838163059,86,0,86184,59.8759753162451,0.000694745838163059,84
"577",128.381214,-2.872455,810604000901,"grid",77,77,79002,7000,340,340,1,"1","401.1","401",FALSE,271,"271",55.5478649894642,0.000703119731012686,87,0,79002,55.5478649894642,0.000703119731012686,85
"856",129.553069999999,-3.390308,810304000302,"grid",47,47,48222,6000,178,178,1,"1","349.1","349",FALSE,422,"422",35.0732196028052,0.000727328182215694,88,0,48222,35.0732196028052,0.000727328182215694,86
"523",128.063309,-3.079641,810602002005,"grid",100,100,102600,9000,317,317,1,"1","440.1","440",FALSE,70,"70",75.4418493628171,0.000735300676050848,89,0,102600,75.4418493628171,0.000735300676050848,87
"209",128.2238,-3.735859,817102100102,"grid",6,6,6156,3000,25,25,1,"1","220.1","220",FALSE,209,"209",4.53807325052598,0.000737178890598762,90,0,6156,4.53807325052598,0.000737178890598762,88
"1192",128.846307999999,-2.867616,810314100201,"grid",55,55,56430,6000,250,250,1,"1","369.1","369",FALSE,357,"357",43.3350939579883,0.000767944248768178,91,0,56430,43.3350939579883,0.000767944248768178,89
"263",128.405068,-2.869196,810604001201,"grid",38,38,38988,3000,170,170,1,"1","335.1","335",FALSE,276,"276",30.713928035521,0.000787779009836899,92,0,38988,30.713928035521,0.000787779009836899,90
"568",128.189456,-3.620829,817103100812,"grid",14,14,14364,3000,62,62,1,"1","254.1","254",FALSE,169,"169",11.3803805193034,0.000792284915016943,93,0,14364,11.3803805193034,0.000792284915016943,91
"1160",129.780328,-3.326307,810304100502,"grid",278,278,285228,21000,2040,2040,1,"1","591.1","591",FALSE,427,"427",234.085710382423,0.000820696812313038,94,0,285228,234.085710382423,0.000820696812313038,92
"8",129.220094999999,-3.394854,810305002402,"grid",30,30,30780,3000,155,155,1,"1","308.1","308",FALSE,406,"406",25.2633552573737,0.000820771775743137,95,0,30780,25.2633552573737,0.000820771775743137,93
"609",128.286,-3.219157,810603100201,"grid",26,26,26676,3000,92,92,1,"1","299.1","299",FALSE,247,"247",22.711209969611,0.000851372393522679,96,0,26676,22.711209969611,0.000851372393522679,94
"697",129.976859649246,-3.41029539405939,810703002199,"grid",109,109,111834,9000,36,36,1,"1","480.1","480",FALSE,456,"456",96.5117694833246,0.000862991303926575,97,0,111834,96.5117694833246,0.000862991303926575,95
"138",128.376949999999,-2.871999,810604000801,"grid",64,64,65664,7000,327,327,1,"1","407.1","407",FALSE,270,"270",56.9644326137599,0.000867513898235866,98,0,65664,56.9644326137599,0.000867513898235866,96
"1301",128.299346,-3.678579,817102100604,"grid",25,25,25650,3000,102,102,1,"1","298.1","298",FALSE,249,"249",22.4489714489493,0.000875203565261182,99,0,25650,22.4489714489493,0.000875203565261182,97
"1218",128.415727,-3.595719,810309000102,"grid",47,47,48222,6000,193,193,1,"1","366.1","366",FALSE,279,"279",42.2448871848168,0.000876050084708572,101,0,48222,42.2448871848168,0.000876050084708572,98
"1280",128.728927,-2.860333,810604101401,"grid",53,53,54378,6000,172,172,1,"1","386.1","386",FALSE,347,"347",48.1625029022928,0.000885698313698423,102,0,54378,48.1625029022928,0.000885698313698423,99
"1132",128.418482,-3.603853,810309000101,"grid",95,95,97470,9000,396,396,1,"1","463.1","463",FALSE,280,"280",86.9881228281311,0.000892460478384438,103,0,97470,86.9881228281311,0.000892460478384438,100
